chi_statistic,expected_voids,input_name,is_significant,max_void_distance,mean_void_distance,method_name,metric_type,model_name,num_voids,observed_voids,p_value,significance_level,timestamp,total_void_area_estimate,void_distance_std
,,sample_1,,,0.10277140029774641,PHATE,void_regions,EmbeddingGemma (Ollama),15,,,,20250924_225433,,
0.0,20.0,sample_1,False,,,PHATE,void_significance,EmbeddingGemma (Ollama),,20,1.0,0.050000000000000044,20250924_225433,,
,,sample_1,,0.1255,,PHATE,void_geometry,EmbeddingGemma (Ollama),,,,,20250924_225433,0.15000000000000002,0.0153
