clustering_coefficient,digit_indices,digit_sequence_linearity,found_letters,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,mean_step_distance,method_name,metric_type,model_name,num_components,num_edges,num_hubs,num_letters,overall_linearity,sequential_consistency,timestamp,transitivity
1.0,,,,,,元字-filtered,299,,,,PHATE,connectivity_graph,Sentence-BERT Multilingual,1,44551,,,,,20250914_205917,
,,0,,,,元字-filtered,,,,,PHATE,linearity_analysis,Sentence-BERT Multilingual,,,,,0.8771,,20250914_205917,
,,,,1.0,,元字-filtered,,298,298.0,,PHATE,topology_analysis,Sentence-BERT Multilingual,,,0,,,,20250914_205917,1.0
,,,一;丁;七;万;丈;三;上;下;不;与;丑;专;且;丘;丙;业;东;个;中;丰;丸;为;乃;久;么;义;之;乌;乍;乎;乐;乙;九;乞;也;习;乡;了;二;于;亏;云;五;井;亡;交;人;今;介;仓;令;以;儿;元;兄;入;八;公;六;兰;共;其;内;冈;冬;几;凶;出;击;刀;刁;刃;分;力;办;勺;勾;勿;匀;包;匕;北;匹;区;十;千;升;午;半;占;卡;卤;厂;去;又;叉;及;友;口;古;句;另;只;可;台;各;合;吉;向;吕;员;咸;囗;四;土;士;夕;大;天;太;夫;央;失;头;奉;女;子;宁;它;寸;寺;小;少;尚;尤;尧;尸;尺;尼;屯;山;川;工;巨;己;已;巴;巾;市;布;干;平;并;幺;广;庄;开;弋;式;弓;心;必;戈;戶;户;手;才;支;文;斗;斤;斥;方;无;日;旦;易;曲;月;木;未;末;本;术;東;柬;欠;止;正;歹;毋;母;比;毛;氏;气;水;火;爪;父;片;牙;牛;犬;玄;玉;王;瓜;瓦;甘;生;用;甫;田;由;甲;申;电;畏;白;皮;皿;目;矛;矢;石;示;禾;穴;立;竹;米;糸;缶;网;羊;羽;而;耳;肉;臣;自;至;舌;舟;艮;良;色;虫;血;行;衣;西;见;角;言;谷;豆;贝;责;赤;走;足;身;车;辛;辰;邑;酉;釆;里;金;长;阜;隶;雨;青;非;面;革;韦;韭;音;页;风;飞;食;首;香;马;骨;鬼;鱼;鸟;麦;齐;齿;龙;龟,,,元字-filtered,,,,0.0562,PHATE,alphabetical_ordering,Sentence-BERT Multilingual,,,,299,,0.1409,20250914_205917,
