clustering_coefficient,digit_indices,digit_sequence_linearity,found_letters,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,mean_step_distance,method_name,metric_type,model_name,num_components,num_edges,num_hubs,num_letters,overall_linearity,sequential_consistency,timestamp,transitivity
1.0,,,,,,元字,411,,,,PHATE,connectivity_graph,Sentence-BERT Multilingual,1,84255,,,,,20250914_205659,
,,0,,,,元字,,,,,PHATE,linearity_analysis,Sentence-BERT Multilingual,,,,,0.7931,,20250914_205659,
,,,,1.0,,元字,,410,410.0,,PHATE,topology_analysis,Sentence-BERT Multilingual,,,0,,,,20250914_205659,1.0
,,,㐬;㔾;㕻;一;丁;七;万;丈;三;上;下;不;与;丑;专;且;丘;丙;业;东;丨;个;丬;中;丰;丶;丷;丸;为;丿;乀;乁;乂;乃;久;么;义;之;乌;乍;乎;乐;乙;乚;乛;九;乞;也;习;乡;亅;了;二;亍;于;亏;云;五;井;亠;亡;亢;交;人;亻;今;介;仓;令;以;佥;儿;兀;元;兄;入;八;公;六;兰;共;其;冂;内;冈;冖;冫;冬;几;凵;凶;出;击;刀;刁;刂;刃;分;刍;力;办;勹;勺;勾;勿;匀;包;匕;北;匚;匸;匹;区;十;千;升;午;半;卜;占;卡;卤;卩;厂;厶;去;又;叉;及;友;口;古;句;另;只;可;台;各;合;吉;向;吕;员;呙;咸;囗;四;囟;土;坙;士;夂;夆;夊;夕;大;天;太;夫;央;失;头;奂;奉;女;子;孚;宀;宁;它;寸;寺;小;少;尚;尢;尤;尧;尸;尺;尼;屮;屯;屰;山;巛;川;工;巨;己;已;巴;巾;市;布;干;平;并;幷;幺;广;庄;廴;廾;开;弋;式;弓;彐;彑;彡;彳;心;忄;必;戈;戋;戶;户;手;扌;才;支;攴;攵;文;斗;斤;斥;方;无;旡;日;旦;易;曰;曲;月;木;朩;未;末;本;术;東;柬;欠;止;正;歹;殳;毋;母;比;毛;氏;气;水;氵;氺;火;灬;爪;爫;父;爻;爿;片;牙;牛;牜;犬;犭;玄;玉;王;瓜;瓦;甘;生;用;甫;田;由;甲;申;电;畏;畐;疋;疒;癶;白;皮;皿;目;矛;矢;石;示;礻;禸;禾;穴;立;竹;米;糸;纟;缶;网;罒;罓;羊;羽;耂;而;耒;耳;聿;肉;肙;臣;自;至;臼;舌;舛;舟;艮;良;色;艹;虍;虫;血;行;衣;衤;西;覀;见;角;言;讠;谷;豆;豕;豸;贝;责;赤;走;足;身;车;辛;辰;辶;邑;酉;釆;里;金;钅;长;门;阜;阝;隶;隹;雨;青;非;面;革;韦;韭;音;页;风;飞;食;饣;首;香;马;骨;鬼;鱼;鸟;麦;黾;齐;齿;龙;龟;龴;龺;𤴔,,,元字,,,,0.0479,PHATE,alphabetical_ordering,Sentence-BERT Multilingual,,,,400,,0.2064,20250914_205659,
