clustering_coefficient,digit_indices,digit_sequence_linearity,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,method_name,metric_type,model_name,num_components,num_edges,num_hubs,overall_linearity,timestamp,transitivity
1.0,,,,,sample_1,121,,,PHATE,connectivity_graph,mBERT,1,7260,,,20250924_225344,
,,0,,,sample_1,,,,PHATE,linearity_analysis,mBERT,,,,0.8501,20250924_225344,
,,,1.0,,sample_1,,120,120.0,PHATE,topology_analysis,mBERT,,,0,,20250924_225344,1.0
