clustering_coefficient,digit_indices,digit_sequence_linearity,graph_density,hub_nodes,input_name,largest_component_size,max_degree,mean_degree,method_name,metric_type,model_name,num_components,num_edges,num_hubs,overall_linearity,timestamp,transitivity
1.0,,,,,sample_1,121,,,PHATE,connectivity_graph,BGE-M3 (Ollama),1,7260,,,20250924_225410,
,,0,,,sample_1,,,,PHATE,linearity_analysis,BGE-M3 (Ollama),,,,0.9394,20250924_225410,
,,,1.0,,sample_1,,120,120.0,PHATE,topology_analysis,BGE-M3 (Ollama),,,0,,20250924_225410,1.0
