chi_statistic,expected_voids,input_name,is_significant,max_void_distance,mean_void_distance,method_name,metric_type,model_name,num_voids,observed_voids,p_value,significance_level,timestamp,total_void_area_estimate,void_distance_std
,,ASCII-words,,,0.0856293083147416,PHATE,void_regions,Nomic-Embed-Text (Ollama),14,,,,20250923_231109,,
0.0,20.0,ASCII-words,False,,,PHATE,void_significance,Nomic-Embed-Text (Ollama),,20,1.0,0.050000000000000044,20250923_231109,,
,,ASCII-words,,0.1148,,PHATE,void_geometry,Nomic-Embed-Text (Ollama),,,,,20250923_231109,0.14,0.0162
