chi_statistic,expected_voids,input_name,is_significant,max_void_distance,mean_void_distance,method_name,metric_type,model_name,num_voids,observed_voids,p_value,significance_level,timestamp,total_void_area_estimate,void_distance_std
,,ASCII-words,,,0,PHATE,void_regions,Stella-1.5B,0,,,,20250923_225102,,
0,0,ASCII-words,False,,,PHATE,void_significance,Stella-1.5B,,0,1,0.05,20250923_225102,,
,,ASCII-words,,0,,PHATE,void_geometry,Stella-1.5B,,,,,20250923_225102,0,0
